dates 	IGWDAll 	IGUSDAll 	IGGBPAll 	IGEURAll 	IGShortUSDAll 	IGShortGBPAll 	IGShortEURAll 	HYWDAll 	HYUSDAll 	HYEURAll
28-Nov-1997 	-0.000310 	-0.000770 	-0.001370 	0.000000 	NaN 	NaN 	NaN 	NaN 	0.001950 	NaN
05-Dec-1997 	0.000290 	0.000410 	0.002610 	-0.002440 	NaN 	NaN 	NaN 	NaN 	0.003950 	NaN
12-Dec-1997 	-0.000520 	-0.000280 	-0.000920 	0.000000 	NaN 	NaN 	NaN 	NaN 	-0.003840 	NaN
19-Dec-1997 	0.000350 	0.000220 	-0.000700 	0.000000 	NaN 	NaN 	NaN 	NaN 	0.000200 	NaN
26-Dec-1997 	-0.000740 	-0.001490 	-0.000070 	0.000000 	NaN 	NaN 	NaN 	NaN 	0.000210 	NaN
02-Jan-1998 	0.000330 	0.000830 	-0.001120 	0.003880 	NaN 	NaN 	NaN 	NaN 	-0.002800 	NaN
09-Jan-1998 	-0.000560 	-0.000280 	-0.000450 	0.000000 	NaN 	NaN 	NaN 	-0.004550 	-0.004630 	0.011960
16-Jan-1998 	-0.000390 	-0.000960 	-0.000210 	0.000000 	NaN 	NaN 	NaN 	0.005640 	0.005740 	0.008110
23-Jan-1998 	-0.000100 	-0.000490 	-0.000480 	0.000000 	NaN 	NaN 	NaN 	0.004210 	0.004280 	0.009480
30-Jan-1998 	-0.001540 	-0.002180 	-0.000150 	0.000000 	NaN 	NaN 	NaN 	-0.001730 	-0.001780 	0.002220
06-Feb-1998 	0.000390 	0.000450 	-0.000080 	0.001440 	NaN 	NaN 	NaN 	0.003350 	0.003460 	-0.008380
13-Feb-1998 	0.000590 	0.001140 	0.001080 	0.000000 	NaN 	NaN 	NaN 	-0.000060 	-0.000140 	0.000740
20-Feb-1998 	-0.000010 	-0.000050 	0.000150 	0.000000 	NaN 	NaN 	NaN 	0.001330 	0.001310 	0.000710
27-Feb-1998 	0.000370 	0.000980 	0.000690 	0.000000 	NaN 	NaN 	NaN 	0.002220 	0.002240 	0.001960
06-Mar-1998 	0.000680 	0.001090 	-0.000730 	0.001440 	NaN 	NaN 	NaN 	0.000610 	0.000660 	-0.002270
13-Mar-1998 	0.000570 	0.000500 	0.000490 	0.000000 	NaN 	NaN 	NaN 	-0.000760 	-0.000840 	0.004020
20-Mar-1998 	-0.000070 	0.000080 	-0.000410 	0.000000 	NaN 	NaN 	NaN 	0.003140 	0.003150 	0.000290
27-Mar-1998 	0.000210 	0.000230 	-0.000330 	0.000000 	NaN 	NaN 	NaN 	0.005370 	0.005440 	0.001250
03-Apr-1998 	0.000270 	0.000840 	-0.001520 	-0.001940 	NaN 	NaN 	NaN 	-0.004700 	-0.004840 	0.002110
09-Apr-1998 	-0.000000 	-0.000270 	0.000500 	0.000700 	NaN 	NaN 	NaN 	0.003940 	0.003950 	0.006120
17-Apr-1998 	0.000610 	0.000720 	0.000880 	0.000770 	NaN 	NaN 	NaN 	0.000970 	0.000950 	0.004950
24-Apr-1998 	-0.000060 	0.000040 	0.000030 	0.000050 	NaN 	NaN 	NaN 	0.002440 	0.002480 	0.008540
01-May-1998 	0.000330 	0.000710 	0.000020 	-0.000150 	NaN 	NaN 	NaN 	-0.001780 	-0.001820 	-0.001020
08-May-1998 	0.000260 	-0.000220 	0.001770 	0.001470 	NaN 	NaN 	NaN 	0.001460 	0.001550 	0.000490
15-May-1998 	0.000490 	0.001050 	0.000920 	-0.000680 	NaN 	NaN 	NaN 	-0.000910 	-0.000930 	-0.006050
22-May-1998 	-0.000200 	-0.000020 	-0.000540 	-0.000330 	NaN 	NaN 	NaN 	-0.000480 	-0.000500 	-0.000300
29-May-1998 	-0.000070 	-0.000060 	-0.000470 	-0.000350 	NaN 	NaN 	NaN 	-0.001470 	-0.001530 	0.000570
05-Jun-1998 	-0.000440 	-0.000990 	0.001320 	0.000030 	NaN 	NaN 	NaN 	0.001190 	0.001210 	-0.003190
12-Jun-1998 	-0.000230 	0.000010 	-0.000280 	-0.000220 	NaN 	NaN 	NaN 	-0.003840 	-0.003890 	-0.004570
19-Jun-1998 	-0.000760 	-0.000730 	-0.000860 	0.000360 	NaN 	NaN 	NaN 	-0.000810 	-0.000690 	-0.009130
26-Jun-1998 	-0.000300 	-0.000030 	-0.001460 	-0.000680 	NaN 	NaN 	NaN 	0.000730 	0.000750 	-0.002360
02-Jul-1998 	-0.001200 	-0.002220 	0.000920 	-0.000060 	NaN 	NaN 	NaN 	-0.000350 	-0.000460 	0.004360
10-Jul-1998 	0.000390 	0.000260 	0.001690 	0.000200 	NaN 	NaN 	NaN 	0.001990 	0.002130 	-0.002460
17-Jul-1998 	-0.000200 	-0.000240 	-0.001980 	0.000300 	NaN 	NaN 	NaN 	0.003940 	0.003940 	0.006150
24-Jul-1998 	0.000180 	0.000090 	0.001600 	0.000130 	NaN 	NaN 	NaN 	-0.000020 	-0.000240 	0.004940
31-Jul-1998 	-0.001660 	-0.002260 	-0.002840 	-0.000120 	NaN 	NaN 	NaN 	-0.000800 	-0.000790 	-0.000900
07-Aug-1998 	-0.000460 	-0.000620 	0.000290 	-0.000690 	NaN 	NaN 	NaN 	-0.007540 	-0.007560 	-0.007970
14-Aug-1998 	-0.000820 	-0.001150 	-0.000760 	-0.000560 	NaN 	NaN 	NaN 	-0.009690 	-0.009740 	-0.021210
21-Aug-1998 	-0.001440 	-0.001980 	-0.002710 	-0.003250 	NaN 	NaN 	NaN 	-0.012750 	-0.012760 	-0.023440
28-Aug-1998 	-0.006520 	-0.009620 	-0.008190 	-0.000600 	NaN 	NaN 	NaN 	-0.034890 	-0.034530 	-0.036000
04-Sep-1998 	-0.009240 	-0.015600 	-0.001470 	0.000290 	NaN 	NaN 	NaN 	-0.015970 	-0.014730 	-0.066800
11-Sep-1998 	-0.000060 	0.000370 	-0.002560 	-0.001100 	NaN 	NaN 	NaN 	-0.013840 	-0.014030 	-0.018670
18-Sep-1998 	-0.000270 	0.001080 	-0.005870 	0.000010 	NaN 	NaN 	NaN 	-0.005760 	-0.005680 	-0.000150
25-Sep-1998 	-0.001050 	-0.000610 	-0.007310 	-0.000770 	NaN 	NaN 	NaN 	0.002590 	0.002970 	-0.006490
02-Oct-1998 	-0.003620 	-0.004420 	-0.016600 	-0.001060 	NaN 	NaN 	NaN 	-0.013020 	-0.012960 	-0.027710
09-Oct-1998 	0.000150 	-0.001290 	0.007250 	0.002450 	NaN 	NaN 	NaN 	-0.010600 	-0.011250 	0.010630
16-Oct-1998 	-0.002250 	-0.001850 	-0.006930 	-0.002060 	NaN 	NaN 	NaN 	-0.020680 	-0.020780 	-0.019790
23-Oct-1998 	0.001590 	0.001690 	0.006770 	0.000200 	NaN 	NaN 	NaN 	0.018190 	0.018680 	-0.002610
30-Oct-1998 	-0.002160 	-0.004510 	0.001400 	0.000640 	NaN 	NaN 	NaN 	0.002880 	0.002370 	0.039390
06-Nov-1998 	0.001910 	0.002730 	0.005840 	0.001440 	NaN 	NaN 	NaN 	0.026170 	0.026340 	0.026740
13-Nov-1998 	0.000730 	0.001060 	0.001200 	-0.000340 	NaN 	NaN 	NaN 	0.011010 	0.011000 	0.030350
20-Nov-1998 	0.000840 	0.001780 	0.000820 	-0.001330 	NaN 	NaN 	NaN 	0.014150 	0.013360 	0.045600
27-Nov-1998 	0.002470 	0.005080 	0.002510 	0.000090 	NaN 	NaN 	NaN 	0.007810 	0.007700 	0.006770
04-Dec-1998 	0.002950 	0.005950 	-0.002840 	0.000050 	NaN 	NaN 	NaN 	-0.006200 	-0.006040 	-0.015810
11-Dec-1998 	0.000850 	0.000780 	-0.000250 	-0.000700 	NaN 	NaN 	NaN 	-0.001090 	-0.001100 	0.008220
18-Dec-1998 	0.000310 	0.000810 	0.001740 	0.000380 	NaN 	NaN 	NaN 	-0.004270 	-0.004340 	0.002900
24-Dec-1998 	0.001120 	0.001580 	-0.001930 	0.000080 	NaN 	NaN 	NaN 	0.011050 	0.011270 	0.004640
31-Dec-1998 	0.000510 	0.000730 	0.001290 	-0.000310 	NaN 	NaN 	NaN 	-0.004400 	-0.004450 	-0.003010
08-Jan-1999 	-0.001690 	-0.003180 	0.004140 	0.001250 	NaN 	NaN 	NaN 	0.016110 	0.015830 	0.015100
15-Jan-1999 	0.000450 	0.001010 	-0.000760 	-0.000270 	NaN 	NaN 	NaN 	-0.008590 	-0.008810 	-0.013300
22-Jan-1999 	-0.000260 	-0.000490 	0.001170 	-0.000100 	NaN 	NaN 	NaN 	0.002670 	0.002280 	0.019330
29-Jan-1999 	0.001210 	0.001590 	0.001090 	0.000660 	NaN 	NaN 	NaN 	0.003590 	0.003200 	0.016250
05-Feb-1999 	0.001810 	0.002460 	0.004110 	0.000040 	NaN 	NaN 	NaN 	0.012460 	0.012430 	0.013310
12-Feb-1999 	0.000470 	-0.000620 	0.005570 	0.002210 	NaN 	NaN 	NaN 	0.005110 	0.004790 	0.013260
19-Feb-1999 	0.000010 	0.001110 	-0.001990 	-0.001130 	NaN 	NaN 	NaN 	-0.001120 	-0.001070 	-0.002190
26-Feb-1999 	0.001480 	0.001460 	0.002580 	0.002360 	NaN 	NaN 	NaN 	0.001540 	0.001630 	0.001840
05-Mar-1999 	0.000460 	0.001610 	-0.001080 	-0.001760 	NaN 	NaN 	NaN 	-0.003230 	-0.003300 	-0.001040
12-Mar-1999 	0.000650 	0.001060 	0.000260 	0.000180 	NaN 	NaN 	NaN 	0.000390 	0.000340 	0.004790
19-Mar-1999 	0.000970 	0.001450 	0.000090 	-0.000300 	NaN 	NaN 	NaN 	0.004580 	0.004370 	0.019740
26-Mar-1999 	0.000280 	0.000370 	0.000090 	0.000800 	NaN 	NaN 	NaN 	0.002390 	0.002410 	0.004690
01-Apr-1999 	0.000150 	-0.000190 	-0.000620 	-0.000510 	NaN 	NaN 	NaN 	0.004750 	0.004760 	0.005150
09-Apr-1999 	-0.000310 	-0.000490 	-0.000870 	-0.001810 	NaN 	NaN 	NaN 	0.001480 	0.001480 	0.007000
16-Apr-1999 	0.000660 	0.000630 	0.000940 	0.001740 	NaN 	NaN 	NaN 	0.009720 	0.009600 	0.003680
23-Apr-1999 	0.000130 	0.000280 	0.000730 	-0.000330 	NaN 	NaN 	NaN 	0.002220 	0.002300 	-0.001510
30-Apr-1999 	0.000360 	-0.000670 	0.001420 	0.000980 	NaN 	NaN 	NaN 	0.003520 	0.003500 	0.005140
07-May-1999 	0.000650 	0.000950 	0.000430 	0.000070 	NaN 	NaN 	NaN 	0.006610 	0.006630 	0.002430
14-May-1999 	0.000710 	0.000370 	0.002690 	0.002820 	NaN 	NaN 	NaN 	-0.001020 	-0.001240 	0.005440
21-May-1999 	-0.000820 	-0.000930 	-0.004510 	-0.002300 	NaN 	NaN 	NaN 	-0.004020 	-0.003810 	-0.012220
28-May-1999 	-0.000670 	-0.002180 	-0.001020 	0.001190 	NaN 	NaN 	NaN 	0.001180 	0.001640 	-0.007870
04-Jun-1999 	-0.000470 	-0.000640 	-0.001150 	-0.000440 	NaN 	NaN 	NaN 	0.000600 	0.000590 	0.000120
11-Jun-1999 	-0.000070 	-0.000380 	0.000910 	-0.000190 	NaN 	NaN 	NaN 	0.004720 	0.004810 	0.002320
18-Jun-1999 	0.000060 	-0.000240 	0.002200 	-0.000330 	NaN 	NaN 	NaN 	-0.005320 	-0.005290 	-0.004850
25-Jun-1999 	0.000490 	0.000780 	-0.000910 	0.002100 	NaN 	NaN 	NaN 	0.006420 	0.006050 	0.018190
02-Jul-1999 	-0.000230 	-0.001410 	0.000420 	-0.001700 	NaN 	NaN 	NaN 	-0.003630 	-0.004010 	0.011880
09-Jul-1999 	-0.000230 	-0.000340 	-0.000980 	-0.000290 	NaN 	NaN 	NaN 	0.001480 	0.001400 	0.006660
16-Jul-1999 	0.000110 	0.000700 	-0.000410 	-0.000840 	NaN 	NaN 	NaN 	-0.001090 	-0.001230 	0.002720
